JAVA;JS;CPP;CS;PHP
2.072139303;1.512437811;1;1.731343284;4.529850746
1.871657754;1.446524064;1;1.644385027;3.061497326
1.865044248;1.210176991;1;1.384955752;2.902654867
1.752941176;1.192647059;1;1.782352941;9.666176471
1.91276252;1.185783522;1;1.247172859;6.793214863
1.714902808;1;2.898608111;2.758159347;7.661987041
1.91350211;1.426160338;1;1.419831224;3.702531646
1.904051173;1.417910448;1;1.332622601;2.326226013
2.2075;1.455;1;1.38;2.2475
1.636363636;1.386363636;1;1.288636364;1.395454545
1.67961165;1.327669903;1;1.388349515;2.072815534
1.527131783;1.230620155;1;1.199612403;2.356589147
1.879146919;1.305687204;1;1.398104265;2.971563981
2.087136929;1.543568465;1;1.815352697;10.26763485
2.002202643;1.400881057;1;1.612334802;5.00660793
1.825641026;1.420512821;1;1.356410256;1.664102564
1.795698925;1.275268817;1;1.333333333;2.692473118
1.709832134;1.261390887;1;1.529976019;3.074340528
1.906775908;1;2.375996457;3.318866253;61.840124
1.877922078;1.501298701;1;1.254545455;3.288311688
1.434673367;1.190954774;1;1.188442211;1.072864322
1.733656174;1.297820823;1;1.331719128;2.840193705
1;1.597181206;1.677146181;2.785898835;148.2018784
1.614361702;1.480053191;1;2.011968085;19.70611702
2.055837563;1.819796954;1;2.434010152;43.23434856
1.511415525;1.312785388;1;1.093607306;3.299086758
1.895591647;1.197215777;1;1.271461717;2.563805104
2.123689727;2.041928721;1;1.796645702;5.255765199
1.505;1;1.80875;1.74625;6.5425
1.141131596;2.713922441;1;3.632549269;258.9491418
1.288220551;2.94924812;1;3.360275689;261.3646617
1;1.059918754;1.869329722;2.393534191;50.3056872
1.915217391;1.52826087;1;1.367391304;4.847826087
1.689411765;1.131764706;1;1.096470588;1.308235294
1.695121951;1.395121951;1;1.287804878;4.824390244
;1.423267327;1;1.46039604;2.559405941
1.647058824;1.389355742;1;1.425770308;2.218487395
2.457905544;2.425051335;1;1.466119097;4.199178645
1.334257975;1.013869626;1;1.349514563;19.13453537
1.81233244;1.568364611;1;1.319034853;4.190348525
1.773480663;1.7053407;1;1.554327808;12.75690608
1.556844548;1.39675174;1;1.236658933;12.39211137
1.851032448;1;1.044247788;1.525073746;13.84365782
1.942934783;1.491847826;1;1.576086957;2.366847826
1.827027027;1.313513514;1;1.456756757;1.794594595
1.513631407;1.066521265;1;3.103598691;15.17011996
1.825561313;1.281519862;1;1.226252159;7.906735751
1.705159705;1.265356265;1;1.351351351;2.626535627
1.902777778;1.391203704;1;1.178240741;3.537037037
1.905857741;1.341004184;1;1.541841004;9.407949791
2.783783784;1.059743954;1;1.80512091;9.193456615
1.248141264;1.215613383;1;1.512081784;18.46840149
1.478891821;1.240105541;1;1.451187335;16.76385224
1.75249501;1.381237525;1;1.25748503;7.121756487
1.585227273;1.278409091;1;1.424242424;6.0625
1.931746032;1.366666667;1;1.265079365;8.50952381
1.979820628;1.376681614;1;1.807174888;2.540358744
1.441025641;1.233333333;1;1.217948718;2.097435897
1.646493756;1;1.007684918;1.71950048;18.76272815
1.620041754;1.45302714;1;1.496868476;26.82254697
1.789617486;1.401639344;1;1.592896175;1.546448087
1.748400853;1.217484009;1;1.255863539;8.023454158
1.679358717;1.328657315;1;1.511022044;8.328657315
1.44556962;1.278481013;1;1.151898734;1.693670886
1.930966469;1.376725838;1;1.59566075;6.021696252
1.671394799;1.271867612;1;1.226950355;2.387706856
1.786389414;1.327032136;1;1.451795841;7.039697543
2.271582734;1.284172662;1;3.208633094;9.145683453
2.559917355;1.371900826;1;3.384297521;7.617768595
1.702764977;1.389400922;1;1.122119816;2.624423963
2.385211268;1.436619718;1;2.826056338;51.72253521
1.508965517;1.537931034;1;1.260689655;14.48965517
2.145021645;1.107503608;1;2.259018759;50.56132756
1.670025189;1.37279597;1;1.413098237;2.687657431
1.528473804;1.341685649;1;1.366742597;3.307517084
1.865346535;1.536633663;1;1.322772277;5.215841584
1.899470899;1.58994709;1;1.433862434;2.955026455
1.160684705;1.27719492;1;3.355052457;81.85422419
1;1.073742795;1.524945339;2.461339694;43.87914927
2.040358744;1.423766816;1;1.986547085;9.011210762
1.593984962;1.807017544;1;1.20802005;2.837092732
1.527950311;1.854480923;1;1.519077196;27.67169476
2.253676471;2.806985294;1;1.455882353;6.590073529
1.574589579;1.566738044;1;2.260528194;16.89721627
1.534883721;1.262790698;1;1.090697674;2.474418605
1.468085106;1.255319149;1;1.167553191;1.89893617
1.550802139;1.240641711;1;1.168449198;1.64973262
1.558312655;1.270471464;1;1.17617866;1.801488834
1.431542461;1;1.088388215;1.135181976;6.580589255
1.628465804;1;1.276648182;2.026494147;27.29451633
4.159242021;1;5.417885638;4.701795213;481.6821809
1.859934853;1;1.366449511;1.774429967;53.06026059
1.313829787;1;1.238031915;1.253989362;73.74867021
1.345744681;1;1.125;1.683510638;9.863031915
18.84169611;1;6.571731449;32.9130742;27.60706714
