JAVA;JS;CPP;CS;PHP
1;2.162679426;1.822966507;3.732057416;28.70334928
1.272727273;1.119617225;1.602870813;1;4.272727273
2.116161616;3.116161616;1.787878788;3.762626263;1
1;2.296116505;1.470873786;3.597087379;82.46116505
1;3.086419753;1.833333333;4.537037037;109.691358
1.795698809;1.18702733;2.998850209;1.691262125;1
1;1.435555556;1.342222222;7.237777778;16.29333333
1;3.309352518;6.100719424;5.115107914;1.805755396
2.06763285;1;1.642512077;6.700483092;1.893719807
4.225;7.45;1;21.3;7.075
3.268456376;1.174496644;1;1.154362416;1.859060403
1.551282051;1.068376068;3.051282051;3.482905983;1
1.833333333;2.849206349;3.26984127;1;2.119047619
1;1.324937028;1.002518892;2.0302267;64.45088161
1.544827586;2.124137931;1;2.575862069;28.95517241
2.146464646;4.737373737;1.883838384;1;2.166666667
1;4.307692308;3.423076923;1.984615385;1.653846154
2.490384615;1.663461538;6.836538462;1;2.836538462
3.240630717;1;3.651940231;1.294814719;8.655113241
1.034313725;4.87745098;1.323529412;1;1.166666667
1.025974026;1;1.467532468;3.917748918;1.277056277
1;2.933823529;1.816176471;1.507352941;3.610294118
3.258578453;1.285664645;2.62317355;1;5.247650155
1;1.653465347;1.405940594;37.79207921;118.2029703
250.7703704;71.71481481;1;69.90740741;454.1518519
1;1.503144654;3.867924528;1.477987421;69.53459119
1.014354067;2.961722488;2.483253589;1;1.277511962
1;1.131578947;1.954887218;2.958646617;64.15037594
1;1.578358209;48.48507463;30.96641791;127.891791
4.211385129;1.396347117;1.828203226;1;4.199610606
3.127779447;1.190204327;1.812124399;1;4.188852163
10.6994649;1.195026755;2.585898647;1;5.515391879
1;2.918918919;1.193693694;4.09009009;51.13513514
2.022988506;1.086206897;1.109195402;1.350574713;1
1;1.517045455;1.125;1.210227273;88.96022727
2.317647059;1;2.105882353;5.311764706;1.641176471
1;1.671641791;1.76119403;5.582089552;2.02238806
1.829959514;1.48582996;1;3.263157895;46.87854251
2.31092437;1.344537815;1;3.277310924;296.1008403
11.90909091;1;14.63636364;36.18181818;620.2272727
1;2.7;1.747058824;4.694117647;247.3294118
1.24137931;1.034482759;1;3.36637931;45.87931034
1.059760956;1.342629482;1;3.187250996;158.2549801
1;1.085858586;1.671717172;1.191919192;1.338383838
1;1.265700483;1.096618357;7.289855072;1.671497585
144.595092;1.122699387;1;31.79141104;151.696319
1;2.810457516;2;5.098039216;158.5163399
1.227513228;1.338624339;1;3.830687831;1.566137566
1.918552036;1;2.031674208;3.49321267;11.83257919
1;1.913461538;1.230769231;3.740384615;139.3413462
270.7888889;2.277777778;1;5.614814815;153.3740741
1.823529412;1.128342246;1;54.19786096;250.3529412
1;1.173076923;1.485576923;3.903846154;236.9711538
3.036231884;1;2.65942029;6.528985507;59.02173913
1.041436464;1.513812155;1;1.997237569;50.25138122
1.374251497;1;1.032934132;2.799401198;38.64670659
1;3.672619048;2.142857143;8.988095238;2.011904762
1.194285714;1;1.857142857;1.525714286;1.771428571
160.8424908;1.10989011;1;49.43223443;259.2014652
2.257142857;1;2.068571429;4.457142857;99.14857143
1.027491409;1.505154639;1;2.83161512;1.037800687
1.115942029;1;2.458937198;3.859903382;134.8937198
1.284090909;2.314393939;1;2.833333333;27.77651515
1.616326531;2.453061224;1.47755102;3.297959184;1
1;1.055793991;1.296137339;1.021459227;65.01287554
1.551724138;3.301724138;1;3.637931034;1.681034483
1.821561338;2.869888476;1;2.921933086;33.34944238
1.712264151;2.768867925;1;28.56132075;100.2075472
1.03626943;1;3.233160622;34.63212435;67.60103627
3.755395683;1;5.805755396;6.215827338;2.208633094
3.22569212;1;2.850037412;1.50380026;11.46989328
1;1.167247387;1.916376307;2.825783972;296.1672474
3.489620773;1;2.445536566;1.22210812;10.26179124
1;2.627659574;3.271276596;3.978723404;1.441489362
1.17;1.83;1.71;1;49.705
1;3.98255814;1.709302326;1.552325581;148.4593023
1.146853147;4.132867133;1.916083916;1.846153846;1
3.290180713;1.132816248;1.439549016;1;5.899488246
9.91750074;1.335267989;2.962037311;1;5.568433521
1;2.754789272;1.375478927;2.793103448;19.45977011
2.6875;2.214285714;1;1.910714286;1.4375
214.5342466;92.45890411;1;57.68493151;224.4109589
1.080188679;22.25235849;1;1.837264151;22.46933962
4.221949724;1.102544451;1.696045371;1;3.744175353
1;2.901477833;2.886699507;3.862068966;1.330049261
4.25862069;1.581896552;1.422413793;1;1.181034483
1.620689655;1;2.293103448;15.7183908;1.557471264
3.118518519;2.881481481;3.666666667;1;3.414814815
2.75147929;1.017751479;2.520710059;1;52.47337278
10.80760822;1.813875528;1.296458242;1;1.671767964
1.68422057;1;3.024252431;1.633351034;6.255550762
89.49273021;1;116.9369952;50.26009693;247.2294023
1.298245614;1;1.728070175;3.609649123;675.0087719
1.525345622;1;1.69124424;1.078341014;169.1705069
6.681072104;1;2.809716912;1.295948712;5.727416676
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
